,rf_ann,shrinkage,delta,n_views,view
2024-01-31,0.037986338126768215,0.02116303701122165,2.556049698286451,1,AAPL+MSFT+AMZN+NVDA beats NEE+CVX+JNJ+XOM by 5.0%
2024-02-29,0.03996915665824263,0.022074688512269933,2.9343331337332734,1,AAPL+AMZN+MSFT+NVDA beats NEE+CVX+XOM+JNJ by 5.0%
2024-03-28,0.04191526065505646,0.022735549913160708,2.8712003110318203,1,CAT+MSFT+AMZN+NVDA beats NEE+CVX+XOM+KO by 5.0%
2024-04-30,0.0439167279617636,0.02379783008759869,3.7036983912596195,1,JPM+CAT+AMZN+NVDA beats NEE+KO+CVX+JNJ by 5.0%
2024-05-31,0.04581369011141945,0.027039316004501112,5.0,1,JPM+CAT+AMZN+NVDA beats NEE+JNJ+UNH+KO by 5.0%
2024-06-28,0.04727963139359248,0.030204783375847675,5.0,1,JPM+AMZN+CAT+NVDA beats JNJ+UNH+KO+CVX by 5.0%
2024-07-31,0.048630453378936456,0.03202804477647355,5.0,1,JPM+GS+AMZN+NVDA beats JNJ+NEE+CVX+UNH by 5.0%
2024-08-30,0.04972628155835779,0.03195591786343905,5.0,1,JPM+AMZN+GS+NVDA beats CVX+JNJ+PG+HD by 5.0%
2024-09-30,0.050392659623064606,0.032380322328108405,5.0,1,CAT+JPM+GS+NVDA beats CVX+JNJ+XOM+PG by 5.0%
2024-10-31,0.05080709504926839,0.03583576668327521,5.0,1,JPM+GS+NEE+NVDA beats CVX+JNJ+XOM+UNH by 5.0%
2024-11-29,0.05092488045366195,0.03766743311002997,5.0,1,CAT+JPM+GS+NVDA beats CVX+UNH+JNJ+XOM by 5.0%
2024-12-31,0.050940279797603294,0.04117234664418469,5.0,1,CAT+JPM+GS+NVDA beats JNJ+MSFT+LIN+KO by 5.0%
2025-01-31,0.05081970810489855,0.0419777067662026,5.0,1,JPM+AMZN+GS+NVDA beats JNJ+UNH+CVX+LIN by 5.0%
2025-02-28,0.05066198316233428,0.04309685275999481,5.0,1,AMZN+JPM+GS+NVDA beats JNJ+UNH+CVX+KO by 5.0%
2025-03-31,0.05045236860634417,0.04143980014422176,5.0,1,AAPL+JPM+NVDA+GS beats UNH+MSFT+JNJ+LIN by 5.0%
2025-04-30,0.05017011476854205,0.06317074181456503,5.0,1,KO+JPM+AAPL+GS beats MSFT+CAT+HD+LIN by 5.0%
2025-05-30,0.0498092511749183,0.06314823155127855,5.0,1,NVDA+AAPL+JPM+GS beats UNH+CVX+CAT+XOM by 5.0%
2025-06-30,0.04943191005443914,0.06482789268113276,5.0,1,KO+NVDA+GS+JPM beats UNH+CVX+NEE+XOM by 5.0%
2025-07-31,0.048989410302150316,0.06598511508307084,5.0,1,CAT+NVDA+JPM+GS beats UNH+CVX+AAPL+XOM by 5.0%
2025-08-29,0.04849256867195828,0.0669002837962396,5.0,1,CAT+JPM+GS+NVDA beats UNH+PG+AAPL+NEE by 5.0%
2025-09-30,0.04789991705405594,0.06848787715707123,5.0,1,AMZN+NVDA+JPM+GS beats UNH+NEE+PG+KO by 5.0%
2025-10-31,0.04719352077146921,0.06927996583017577,5.0,1,CAT+JPM+NVDA+GS beats UNH+PG+KO+NEE by 5.0%
