,rf_ann,shrinkage
2021-02-26,0.010375905308899647,0.04851420029525821
2021-03-31,0.00928439487661814,0.04830719900429579
2021-04-30,0.008291520303329247,0.04783521080070236
2021-05-28,0.007355743793919123,0.047940210659972886
2021-06-30,0.006410804763949729,0.04826631436171495
2021-07-30,0.005549558525614562,0.04779944652304073
2021-08-31,0.004713017214773241,0.049985997341809224
2021-09-30,0.0039343338480690715,0.0492961230695554
2021-10-29,0.0032623355232791473,0.04938844901939059
2021-11-30,0.002634850415617618,0.048658197544226164
2021-12-31,0.0019829639611553818,0.04769112560645288
2022-01-31,0.0014291047522136946,0.04745807020674931
2022-02-28,0.0009696624286071875,0.04896467143737802
2022-03-31,0.0010430086945183437,0.029368712715292827
2022-04-29,0.001289113427093369,0.02796336165084479
2022-05-31,0.001647417030580245,0.026915830855640283
2022-06-30,0.002216702764332723,0.023828277541649668
2022-07-29,0.003066451274231663,0.023822336442334602
2022-08-31,0.0042449355742868455,0.022363858489409284
2022-09-30,0.005521054684126114,0.022937221355518025
2022-10-31,0.007053979295832402,0.022323950508207853
2022-11-30,0.008778626817808166,0.01968618176407094
2022-12-30,0.010519896422491182,0.018385984284603973
2023-01-31,0.012304575872451262,0.017810815704710974
2023-02-28,0.014051744892702889,0.017703438308449428
2023-03-31,0.016202714424527365,0.017472709415890107
2023-04-28,0.01806256816713714,0.01777194901260795
2023-05-31,0.02031290506212735,0.01933556639895445
2023-06-30,0.022496014632702233,0.019181373242618333
2023-07-31,0.024596114747845732,0.019379334509688952
2023-08-31,0.02703988834743365,0.019280745872901184
2023-09-29,0.02916895889454063,0.01948295911422693
2023-10-31,0.031527894662453315,0.019756367974152554
2023-11-30,0.03374660021466047,0.019981001514482507
2023-12-29,0.03582622685140524,0.020995012152477496
2024-01-31,0.037986338126768215,0.02116303701122165
2024-02-29,0.03996915665824263,0.022074688512269933
2024-03-28,0.04191526065505646,0.022735549913160708
2024-04-30,0.0439167279617636,0.02379783008759869
2024-05-31,0.04581369011141945,0.027039316004501112
2024-06-28,0.04727963139359248,0.030204783375847675
2024-07-31,0.048630453378936456,0.03202804477647355
2024-08-30,0.04972628155835779,0.03195591786343905
2024-09-30,0.050392659623064606,0.032380322328108405
2024-10-31,0.05080709504926839,0.03583576668327521
2024-11-29,0.05092488045366195,0.03766743311002997
2024-12-31,0.050940279797603294,0.04117234664418469
2025-01-31,0.05081970810489855,0.0419777067662026
2025-02-28,0.05066198316233428,0.04309685275999481
2025-03-31,0.05045236860634417,0.04143980014422176
2025-04-30,0.05017011476854205,0.06317074181456503
2025-05-30,0.0498092511749183,0.06314823155127855
2025-06-30,0.04943191005443914,0.06482789268113276
2025-07-31,0.048989410302150316,0.06598511508307084
2025-08-29,0.04849256867195828,0.0669002837962396
2025-09-30,0.04789991705405594,0.06848787715707123
2025-10-31,0.04719352077146921,0.06927996583017577
2025-11-28,0.046615821732850615,0.0688192123780668
2025-12-31,0.04587752973687498,0.06881835042761675
2026-01-30,0.04519786779169599,0.07055378542525678
2026-02-27,0.04456812568721358,0.07219645417764432
2026-03-31,0.04383839472175233,0.06972844037133907
2026-04-30,0.04314208899620364,0.07208982066849362
2026-05-29,0.042470836598678674,0.07360639975770077
2026-06-30,0.04179917662471622,0.0720921380497158
2026-07-31,0.041141554755692145,0.07484561000956678
2026-08-31,0.04056404622870191,0.0817311891328424
2026-09-11,0.04037445042005949,0.08424057374612032
